St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,BIO 126,A,,"Evolution and Diversity Students in Bio 126 A must also register for one lab Bio 126 AL, BL, or CL.",,1.00 ,N,SED,MWF 0905-1000,TOH 280,"Swift, Michael"
C,BIO 126,B,,"Evolution and Diversity Students in Bio 126 B must also register for one lab Bio 126 DL, EL, or FL.",,1.00 ,N,SED,MWF 0800-0855,RNS 410,"Umbanhowar, Charles Jr."
C,BIO 126,C,,Evolution and Diversity Students in Bio 126C must also register for one lab Bio 126 GL or HL.,,1.00 ,N,SED,T 0800-0925 Th 0800-0920,RNS 410 RNS 410,"Deacon, Nicholas J."
C,BIO 126,A,L,Evolution & Diversity Lab,,0.00 ,N,,T 0120-0350PM,RNS 255,"Swift, Michael"
C,BIO 126,B,L,Evolution & Diversity Lab,,0.00 ,N,,M 0120-0350PM,RNS 255,"Swift, Michael"
C,BIO 126,C,L,Evolution & Diversity Lab,,0.00 ,N,,T 0830-1100,RNS 255,"Swift, Michael"
C,BIO 126,D,L,Evolution & Diversity Lab,,0.00 ,N,,Th 0830-1100,RNS 255,"Umbanhowar, Charles Jr."
C,BIO 126,E,L,Evolution & Diversity Lab,,0.00 ,N,,Th 1245-0315PM,RNS 255,"Umbanhowar, Charles Jr."
C,BIO 126,F,L,Evolution & Diversity Lab,,0.00 ,N,,W 0300-0530PM,RNS 255,"Umbanhowar, Charles Jr."
C,BIO 126,G,L,Evolution & Diversity Lab,,0.00 ,N,,Th 0330-0600PM,,"Deacon, Nicholas J."
C,BIO 126,H,L,Evolution & Diversity Lab,,0.00 ,N,,F 0200-0430PM,,"Deacon, Nicholas J."
C,BIO 231,,,"Microbiology Students in Bio 231 must also register for one lab Bio 231 AL, BL, or CL. This course has class-year limits.",,1.00 ,N,,MWF 1045-1140,RNS 310,"Johnson, Theodore"
C,BIO 231,A,L,Microbiology Lab,,0.00 ,N,,T 0120-0420PM,RNS 398,"Johnson, Theodore"
C,BIO 231,B,L,Microbiology Lab,,0.00 ,N,,W 0200-0500PM,RNS 398,"Johnson, Theodore"
